Model,CPU,CPU specifications,GPU,Storage capacity,Removable storage,RAM,OS,Custom launcher,Dimensions,Weight,Battery,Recharge Power,Display,Camera,Fingerprint sensor,Facial recognition
Vivo X23  (Colorful Edition),Snapdragon 660,Octa-core 1.95 GHz,Adreno 512,128 GB,None,6 GB,Android 8.1 "Oreo",Funtouch  OS 4.5,157.6 x 75.4 x 7.1 mm,162g,3500mAh,microUSB 2.0,6.41" 2340x1080 AMOLED,Dual 12 MP + 13 MP (rear camera) 24.8 MP (front camera),Under screen,Yes
Vivo X23,Snapdragon 670,Octa-core (2x2.0 GHz Kryo 460 Gold – Cortex-A76 derivative + 6x1.7 GHz Kryo 460 Silver – Cortex-A55 derivative),Adreno 615,128 GB,None,8 GB,Android 8.1 "Oreo",Funtouch  OS 4.5,157.6 x 75.4 x 7.1 mm,160.5g,3400mAh,microUSB 2.0,6.41" 2340x1080 AMOLED,Dual 12 MP + 13 MP (rear camera) 12 MP (front camera),Under Screen,Yes
Lenovo Z5 Pro GT  (855 version),Snapdragon 855,Octa-core2.8 GHz (1x2.84 GHz + 3x 2.42 GHz + 4x 1.8 GHz Kryo 485),Adreno 640,128 or 256 GB,microSD up to 256 GB,6/8 GB,Android 9.0 "Pie",ZUI 10,155.12 x 73.04 x 9.3 mm,210g,3350 mAh,USB-C18W,6.39" 2340x1080 AMOLED,Dual 16 MP + 24 MP (rear camera) Dual 16 MP + 8 MP (front camera),Under screen,Yes
Oppo R17 Pro,Snapdragon 710,Octa-core (2x2.2 GHz 360 Gold & 6x1.7 GHz Kryo 360 Silver),Adreno 616,128 GB,None,8 GB,Android 8.1 "Oreo",ColorOS 5.2.1,157.6 x 74.6 x 7.9 mm,183g,3700 mAh,USB-C20W（MAX 50WSuper VOOC available）,6.4" 2340x1080 AMOLED,Triple 12 MP + 20 MP + ToF (rear camera) 25MP (front camera),Under screen,Yes
Oppo R17,Snapdragon 670,Octa-core (2x2.0 GHz Kryo 460 Gold – Cortex-A76 derivative + 6x1.7 GHz Kryo 460 Silver – Cortex-A55 derivative),Adreno 615,128 GB,None,6/8 GB,Android 8.1 "Oreo",ColorOS 5.2.1,157.5 x 74.9 x 7.5 mm,182g,3500 mAh,microUSB 2.0,6.4" 2280x1080 AMOLED,Dual 16 MP + 5 MP (rear camera) 25 MP (front camera),Under screen,Yes
Smartisan Pro 2S,Snapdragon 710,Octa-core (2x2.2 GHz 360 Gold & 6x1.7 GHz Kryo 360 Silver),Adreno 616,64/128 GB,None,4/6 GB,Android 8.1 "Oreo",Smartisan OS 6.0,155.3 x 74.1 x 7.15 mm,167g,3600 mAh,USB-C18W,6.01" 2160x1080 AMOLED,Dual 12 MP + 5 MP (rear camera) 16 MP (front camera),Rear-mounted,Yes
Xiaomi Black Shark Helo,Snapdragon 845,Octa-core2.8 GHz,Adreno 630,128/256 GB,None,6/8/10 GB,Android 8.1 "Oreo",Blackshark UI,160 x 75.25 x 8.7 mm,190g,4000 mAh,USB-C,6.01" 2160x1080 AMOLED,Dual 12 MP + 20 MP (rear camera) 20 MP (front camera),Rear-mounted,Yes
Xiaomi Black Shark,Snapdragon 845,Octa-core2.8 GHz,Adreno 630,64/128 GB,None,6/8 GB,Android 8.0 "Oreo",Blackshark UI,161.6 x 75.4 x 9.3 mm,190g,4000 mAh,USB-C,5.99" 2160x1080 AMOLED,Dual 12 MP + 20 MP (rear camera) 20 MP (front camera),Front-mounted,Yes
Smartisan R1,Snapdragon 845,Octa-core2.8 GHz,Adreno 630,64/128/512/1024 GB,None,6/8 GB,Android 8.1 "Oreo",Smartisan OS 6.0,153.3 x 74.5 x 7.9 mm,170g,3600 mAh,USB-C18WWireless10W(MAX),6.17" 2242x1080 AMOLED,Dual 12 MP + 20 MP (rear camera) 24 MP (front camera),Rear-mounted,Yes
ZTE Nubia X,Snapdragon 845,Octa-core2.8 GHz,Adreno 630,128/256/512 GB,None,6/8 GB,Android 8.1 "Oreo",Nubia UI 6,154.1 x 73.3 x 8.4 mm,181g,3800 mAh,USB-C18W,6.26" 2280x1080 LTPS IPS LCD +  5.1" 1520x720 OLED,Dual 16 MP + 24 MP,Dual side-mounted,No
ZTE Nubia Red Magic Mars,Snapdragon 845,Octa-core2.8 GHz,Adreno 630,64/128/256 GB,None,6/8/10 GB,Android 8.1 "Oreo",Redmagic OS 1.6,158.25 x 75 x 9.85 mm,193g,3800 mAh,USB-C16W,6" 2160x1080 LTPS IPS LCD,16 MP (rear camera) 8 MP (front camera),Rear-mounted,No
Vivo Nex Dual Display,Snapdragon 845,Octa-core2.8 GHz,Adreno 630,128 GB,None,10 GB,Android 9.0 "Pie",Funtouch  OS 4.5,157.2 x 75.3 x 8.1 mm,199g,3500 mAh,USB-C18W(MAX22.5W),6.39" 2340x1080 AMOLED +  5.49" 1920x1080 AMOLED,Triple 12 MP + 2 MP + ToF,Under-screen,Yes 3D
Vivo Nex S,Snapdragon 845,Octa-core2.8 GHz,Adreno 630,128 or 256 GB,None,8 GB,Android 8.1 "Oreo",Funtouch OS 4,162 x 77 x 8 mm,199g,4000 mAh,USB-C18W(MAX22.5W),6.59" 2316x1080 AMOLED,Dual 12 MP + 5 MP (rear camera) 8 MP (front camera),Under-screen,None
